Sample Name,COSMIC identifier
A253,906794
BB30-HNC,753531
BB49-HNC,753532
BHY,753535
BICR10,1290724
BICR22,1240121
BICR31,1290725
BICR78,1240122
Ca9-22,753538
CAL-27,910916
CAL-33,753541
Detroit562,906837
DOK,910936
FADU,906863
H3118,1240140
HN,907059
HO-1-N-1,924111
HO-1-u-1,753561
HSC-2,753562
HSC-3,907061
HSC-4,907062
JHU-011,1240161
JHU-022,1240162
KON,1298215
KOSC-2,753570
LB771-HNC,753583
OSC-19,1298362
OSC-20,1240196
PCI-15A,1240204
PCI-30,1298529
PCI-38,1240205
PCI-4B,1298531
PCI-6A,1240206
PE/CA-PJ15,1240207
RPMI-2650,909700
SAS,909708
SAT,1299050
SCC-15,910911
SCC-25,910701
SCC-4,910904
SCC-9,909709
SKN-3,1299059
COLO-680N,906817
EC-GI-10,753555
ESO26,1503366
ESO51,1503367
FLO-1,1503361
HCE-4,753559
KYAE-1,1503368
KYSE-140,753573
KYSE-150,907317
KYSE-180,907318
KYSE-220,1240167
KYSE-270,907319
KYSE-410,753574
KYSE-450,907320
KYSE-50,1298222
KYSE-510,907321
KYSE-520,753575
KYSE-70,753576
OACM5-1,1503363
OACp4C,1503362
OE19,910079
OE21,1298359
OE33,910549
SK-GT-4,1503365
TE-1,753621
TE-10,753622
TE-11,946354
TE-12,946356
TE-15,753614
TE-4,1503371
TE-5,735784
TE-6,946355
TE-8,753623
TE-9,946353
T-T,1299064
CESS,910688
CTV-1,753548
GDM-1,906870
HEL,907053
HL-60,905938
KASUMI-1,907275
KG-1,907278
KMOE-2,907280
ME-1,1330942
ML-2,908141
MOLM-13,1330947
MONO-MAC-6,908148
NKM-1,908448
NOMO-1,908451
OCI-AML2,910947
OCI-AML3,1290455
OCI-AML5,1330983
OCI-M1,1330985
P31-FUJ,909253
PL-21,1330991
QIMR-WIL,910545
SIG-M5,909715
THP-1,909771
KARPAS-299,907273
SU-DHL-1,909742
SUP-M2,1331040
BALL-1,910705
KARPAS-231,1327774
KOPN-8,1330933
MHH-CALL-2,908132
MHH-PREB-1,908136
MN-60,908143
NALM-6,908158
RCH-ACV,1330994
REH,909696
ROS-50,1331025
SUP-B8,910209
U-698-M,909777
A3-KAW,910935
A4-Fuk,910934
BC-1,910919
CRO-AP2,906807
CTB-1,949088
DB,906832
DOHH-2,906842
Farage,1297449
GRANTA-519,1303897
JEKO-1,1327765
JSC-1,1327769
KARPAS-1106P,1327773
KARPAS-422,907274
MC116,907799
NU-DUL-1,1330982
OCI-LY-19,1330984
RC-K8,1330995
RL,910861
SCC-3,910930
SLVL,1331032
SU-DHL-10,1331033
SU-DHL-16,1331034
SU-DHL-4,1331035
SU-DHL-5,1331036
SU-DHL-6,1331037
SU-DHL-8,1331038
TK,1331045
TUR,909773
VAL,1331048
WSU-DLCL2,1331050
BL-41,910706
CA46,910703
Daudi,906831
DG-75,906838
EB2,906846
EB-3,906847
GA-10,1303896
JiyoyeP-2003,907268
NAMALWA,908159
P32-ISH,1330987
Raji,909262
Ramos-2G6-4C10,910401
ST486,910906
BV-173,910710
CML-T1,910951
EM-2,906855
JURL-MK1,1327771
K-562,905940
KCL-22,1330931
KU812,907311
LAMA-84,907783
MEG-01,908126
RPMI-8866,910544
AMO-1,1295741
EoL-1-cell,906856
JJN-3,1327766
KARPAS-620,1327775
MC-CAR,683665
SKM-1,909722
HC-1,907044
MLMA,908142
Mo-T,908149
HDLM-2,924110
HD-MY-Z,907050
Hs-445,1322218
KM-H2,909976
L-1236,1330935
L-428,907322
L-540,907323
RPMI-6666,909701
SUP-HD1,1331039
KY821,907300
MV-4-11,908156
RS4-11,909703
697,906800
ALL-PO,910944
BE-13,906763
CCRF-CEM,905952
GR-ST,906877
HAL-01,949153
KARPAS-45,907272
KE-37,907277
LC4-1,907787
MOLT-4,905958
P30-OHK,909252
SUP-B15,1247871
ATN-1,910687
LOUCY,907789
MOLT-13,908146
MOLT-16,908147
P12-ICHIKAWA,909251
PF-382,909260
RPMI-8402,909702
SUP-T1,909743
DEL,906836
EHEB,906854
EJM,1297447
H9,907043
JVM-2,907269
JVM-3,907270
SR,905965
WIL2-NS,1331049
WSU-NHL,909785
YT,946358
ARH-77,906765
IM-9,753563
KMS-12-BM,907281
L-363,924239
LP-1,907791
MM1S,1659818
MOLP-8,1330950
NCI-H929,724825
OPM-2,909249
RPMI-8226,905964
SK-MM-2,753612
U-266,753615
ALL-SIL,1295740
DND-41,1297446
HH,907056
Jurkat,998184
CS1,1290795
SJSA-1,909717
CAL-78,1290765
CHSA8926,1303912
H-EMC-SS,907290
CADO-ES1,753539
ES1,949158
ES3,684055
ES4,949156
ES5,684057
ES7,684059
ES8,949155
EW-1,949163
EW-11,684062
EW-12,949162
EW-13,949166
EW-16,949165
EW-18,949164
EW-22,949167
EW-24,949168
EW-3,949161
EW-7,949160
SK-ES-1,684072
SK-PN-DW,909731
TC-71,1240221
CAL-72,906827
G-292 Clone A141B1,1290807
HOS,907060
HuO-3N1,909977
HuO9,907072
MG-63,908131
NOS-1,925345
NY,910849
Saos-2,909707
U-2-OS,909776
AU565,910704
BT-20,906801
BT-474,946359
BT-483,949093
BT-549,905951
CAL-120,906826
CAL-148,924106
CAL-51,910927
CAL-85-1,910852
CAMA-1,946382
COLO-824,906812
DU-4475,906844
EFM-19,906851
EFM-192A,1290798
EVSA-T,906862
HCC1143,749710
HCC1187,749711
HCC1395,749712
HCC1419,907045
HCC1428,1290905
HCC1500,1303900
HCC1569,907046
HCC1599,749713
HCC1806,907047
HCC1937,749714
HCC1954,749709
HCC202,1290906
HCC2157,749715
HCC2218,749716
HCC38,749717
HCC70,907048
HDQ-P1,1290922
Hs-578-T,905957
MCF7,905946
MDA-MB-157,925338
MDA-MB-231,905960
MDA-MB-330,1330941
MDA-MB-361,908121
MDA-MB-415,924240
MDA-MB-436,1240172
MDA-MB-453,908122
MDA-MB-468,908123
MFM-223,910948
MRK-nu-1,908151
OCUB-M,909256
T47D,905945
UACC-812,910910
UACC-893,909778
ZR-75-30,909907
EGI-1,906853
ETK-1,906861
HuCCT1,907069
TGBC1TKB,909769
TGBC24TKB,910695
HUTU-80,907073
C2BBe1,910700
CaR-1,924108
CCK-81,1240123
CL-11,1290769
CL-40,1240124
COLO-205,905961
COLO-320-HSR,910569
COLO-678,910689
CW-2,910554
GP5d,907291
HCC2998,905971
HCC-56,1290907
HCT-116,905936
HCT-15,905937
HT-115,907289
HT-29,905939
HT55,907287
KM12,905989
LoVo,907790
LS-1034,917486
LS-123,907792
LS-180,998189
LS-411N,907794
LS-513,907795
MDST8,1240173
NCI-H630,908482
NCI-H716,908458
NCI-H747,908457
RCM-1,909263
RKO,909698
SK-CO-1,909718
SNU-1040,1659823
SNU-175,1659928
SNU-407,1660034
SNU-61,1660035
SNU-81,1660036
SNU-C1,910905
SNU-C2B,909740
SNU-C5,1674021
SW1116,909746
SW1417,909747
SW1463,909748
SW48,909751
SW837,909755
SW948,909757
T84,909761
C3A,910850
Hep 3B2_1-7,1240147
HLE,907057
huH-1,1298146
HuH-7,907071
JHH-1,1298151
JHH-6,1240159
JHH-7,1240160
SK-HEP-1,909719
SNU-182,1240216
SNU-387,909736
SNU-398,1240217
SNU-423,909737
SNU-449,909738
SNU-475,909739
23132-87,910924
AGS,906790
ECC10,906848
ECC12,906849
FU97,1290806
GCIY,906869
GT3TKB,907041
HGC-27,907055
Hs746T,1240151
HSC-39,1322224
IM-95,1240155
KATOIII,907276
MKN1,908138
MKN28,908139
MKN45,925340
MKN7,924250
NCI-N87,908461
NCI-SNU-1,908444
NCI-SNU-16,908446
NCI-SNU-5,908445
NUGC-3,908455
NUGC-4,1298357
OCUM-1,1298358
RERF-GC-1B,1240209
RF-48,909697
SCH,909711
SK-GT-2,1503364
TGBC11TKB,909770
SW13,909744
769-P,910922
786-0,905947
A498,905948
A704,910920
ACHN,905950
BB65-RCC,753533
BFTC-909,910698
CAKI-1,905963
CAL-54,910952
G-401,907299
HA7-RCC,753558
KMRC-1,1298168
KMRC-20,1298169
LB1047-RCC,753577
LB2241-RCC,753578
LB996-RCC,753585
NCC010,1509073
NCC021,1509074
OS-RC-2,909250
RCC10RGB,909974
RCC-AB,1524418
RCC-ER,1524417
RCC-FG2,1524414
RCC-JW,1524416
RCC-MF,1524419
RXF393,905978
SN12C,905979
TK10,905980
U031,905981
VMRC-RCZ,909781
201T,1287381
A549,905949
ABC-1,906791
Calu-3,687777
Calu-6,724859
COR-L105,906805
EKVX,905970
EMC-BAC-1,1503369
EMC-BAC-2,1503370
H3255,1247873
HCC-44,1240145
HCC-78,1290908
HCC-827,1240146
LC-2-ad,907786
LXF-289,753592
NCI-H1355,724866
NCI-H1395,684681
NCI-H1435,1298347
NCI-H1563,753600
NCI-H1568,1298348
NCI-H1573,908472
NCI-H1623,687798
NCI-H1648,687799
NCI-H1650,687800
NCI-H1651,910900
NCI-H1666,908473
NCI-H1693,687802
NCI-H1703,908474
