,Sample.Name,COSMIC.identifier,Whole.Exome.Sequencing..WES.,Copy.Number.Alterations..CNA.,Gene.Expression,Methylation,Drug.Response,GDSC.Tissue.descriptor.1,GDSC.Tissue.descriptor.2,Cancer.Type..matching.TCGA.label.,Microsatellite..instability.Status..MSI.,Screen.Medium,Growth.Properties,cellid,tissueid
UACC-812,UACC-812,910910,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent,UACC-812,breast
201T,201T,1287381,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,201T,lung
EVSA-T,EVSA-T,906862,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent,EVSA-T,breast
KYSE-520,KYSE-520,753575,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent,KYSE-520,oesophagus
MS751,MS751,1240179,Y,Y,Y,Y,Y,urogenital_system,cervix,CESC,MSS/MSI-L,D/F12,Adherent,MS751,cervix
MEL-JUSO,MEL-JUSO,908125,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent,MEL-JUSO,skin
NCI-H1869,NCI-H1869,1240183,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_squamous_cell_carcinoma,LUSC,MSS/MSI-L,D/F12,Adherent,NCI-H1869,lung
CMK,CMK,910566,Y,Y,Y,N,Y,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,R,Suspension,CMK,haematopoietic_and_lymphoid_tissue
SNU-61,SNU-61,1660035,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,R,Adherent,SNU-61,large_intestine
DMS-114,DMS-114,687983,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Adherent,DMS-114,lung
A204,A204,910784,Y,Y,Y,Y,Y,soft_tissue,rhabdomyosarcoma,,MSS/MSI-L,R,Adherent,A204,soft_tissue
EBC-1,EBC-1,753554,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_squamous_cell_carcinoma,LUSC,MSS/MSI-L,D/F12,Adherent,EBC-1,lung
KURAMOCHI,KURAMOCHI,909975,Y,Y,Y,Y,Y,urogenital_system,ovary,UNABLE TO CLASSIFY,MSS/MSI-L,R,Adherent,KURAMOCHI,ovary
MZ7-mel,MZ7-mel,753596,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent,MZ7-mel,skin
SF539,SF539,905984,Y,Y,Y,Y,Y,nervous_system,glioma,LGG,MSS/MSI-L,R,Adherent,SF539,central_nervous_system
REH,REH,909696,Y,Y,Y,Y,Y,leukemia,B_cell_leukemia,,MSI-H,R,Suspension,REH,haematopoietic_and_lymphoid_tissue
NCI-H2347,NCI-H2347,687820,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,NCI-H2347,lung
NB-TU-1-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NB-TU-1-10,kidney
SIG-M5,SIG-M5,909715,Y,Y,Y,Y,Y,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,D/F12,Suspension,SIG-M5,haematopoietic_and_lymphoid_tissue
CAL-51,CAL-51,910927,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent,CAL-51,breast
ASH-3,ASH-3,1290722,Y,Y,Y,Y,Y,thyroid,thyroid,THCA,MSS/MSI-L,D/F12,Adherent,ASH-3,thyroid
MDST8,MDST8,1240173,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,R,Adherent,MDST8,large_intestine
