"","statistic","p.value","method","alternative","p.adj","NaN.","tempor"
"1",49578,4.91426669176056e-21,"Wilcoxon rank sum test with continuity correction","two.sided",1.79677875917495e-20,NA,"XMD15.27"
"2",42851,3.19680537786643e-08,"Wilcoxon rank sum test with continuity correction","two.sided",5.66706407894503e-08,-1.45257315912811,"NPK76.II.72.1"
"3",23795,4.70192130010055e-08,"Wilcoxon rank sum test with continuity correction","two.sided",8.2108177927129e-08,NA,"UNC0638"
"4",32577,0.692082088529228,"Wilcoxon rank sum test with continuity correction","two.sided",0.722978610338568,0.216984684691998,"YM201636"
"5",24784,9.99734556629001e-07,"Wilcoxon rank sum test with continuity correction","two.sided",1.60231428939169e-06,NA,"TG.101348"
"6",30630,0.128705896815862,"Wilcoxon rank sum test with continuity correction","two.sided",0.149094949776791,0.775530096694414,"Genentech.Cpd.10"
"7",42458,1.13549589743656e-07,"Wilcoxon rank sum test with continuity correction","two.sided",1.95372088235408e-07,NA,"linifanib"
"8",51969,3.82401242206888e-27,"Wilcoxon rank sum test with continuity correction","two.sided",2.63182031401211e-26,NA,"XMD14.99"
"9",43704,1.71866527358191e-09,"Wilcoxon rank sum test with continuity correction","two.sided",3.40820062727261e-09,-3.62147329293044,"CAL.101"
"10",27276,0.000552142932103954,"Wilcoxon rank sum test with continuity correction","two.sided",0.000807509038202032,0.939317211338677,"THZ.2.49"
"11",32332,0.591013610018225,"Wilcoxon rank sum test with continuity correction","two.sided",0.622960291640831,-0.28165552355566,"VX.11e"
"12",23449,1.49766019449625e-08,"Wilcoxon rank sum test with continuity correction","two.sided",2.73791004306346e-08,NA,"ZSTK474"
"13",38624,0.00198939071599531,"Wilcoxon rank sum test with continuity correction","two.sided",0.00273833780907589,-0.922087236439242,"TL.1.85"
"14",41954,5.36334881726169e-07,"Wilcoxon rank sum test with continuity correction","two.sided",8.96445445170882e-07,-2.03498031172469,"I.BET.762"
"15",34276,0.559544303695234,"Wilcoxon rank sum test with continuity correction","two.sided",0.59515166847584,-0.164767068681197,"MPS.1.IN.1"
"16",15563,1.76773407173191e-24,"Wilcoxon rank sum test with continuity correction","two.sided",8.99238636489713e-24,NA,"AR.42"
"17",45128,7.70833276479604e-12,"Wilcoxon rank sum test with continuity correction","two.sided",1.67013876570581e-11,NA,"BMS.708163"
"18",21244,4.09506282184316e-12,"Wilcoxon rank sum test with continuity correction","two.sided",9.04004434255943e-12,NA,"SNX.2112"
"19",51901,5.85559332303733e-27,"Wilcoxon rank sum test with continuity correction","two.sided",3.80613565997427e-26,NA,"AC220"
"20",30828,0.160020743785819,"Wilcoxon rank sum test with continuity correction","two.sided",0.178308828789912,0.647699511287497,"BX.912"
"21",45405,2.49353239024239e-12,"Wilcoxon rank sum test with continuity correction","two.sided",5.61044787804539e-12,-3.18286759743514,"Y.39983"
"22",29200,0.0190695031865694,"Wilcoxon rank sum test with continuity correction","two.sided",0.0239906652992324,1.07568024560513,"NG.25"
"23",26015,2.89533529305788e-05,"Wilcoxon rank sum test with continuity correction","two.sided",4.45729249062857e-05,2.01343031565148,"LY317615"
"24",49349,1.71243504406073e-20,"Wilcoxon rank sum test with continuity correction","two.sided",6.07136061076077e-20,NA,"tivozanib"
"25",24671,7.16346874547093e-07,"Wilcoxon rank sum test with continuity correction","two.sided",1.18045893411282e-06,5.04482078058741,"PI.103"
"26",38880,0.0011974199327998,"Wilcoxon rank sum test with continuity correction","two.sided",0.00168792930286237,-0.891747993349099,"TAK.715"
"27",50767,5.70055814651899e-24,"Wilcoxon rank sum test with continuity correction","two.sided",2.66786121257088e-23,NA,"Zibotentan"
"28",29161,0.0179490267326387,"Wilcoxon rank sum test with continuity correction","two.sided",0.0228264796491166,0.732081569356226,"BHG712"
"29",37793,0.00899035438763757,"Wilcoxon rank sum test with continuity correction","two.sided",0.0119530848108363,NA,"KIN001.055"
"30",42971,2.14936469679752e-08,"Wilcoxon rank sum test with continuity correction","two.sided",3.86885645423553e-08,NA,"GSK690693"
"31",49200,3.82247114415325e-20,"Wilcoxon rank sum test with continuity correction","two.sided",1.31537977607626e-19,NA,"TL.2.105"
"32",39387,0.000412469377729432,"Wilcoxon rank sum test with continuity correction","two.sided",0.000610872369548653,-1.37962320494557,"GSK1070916"
"33",33669,0.815489858171723,"Wilcoxon rank sum test with continuity correction","two.sided",0.836950117597295,0.123294302831184,"Ispinesib.Mesylate"
"34",21578,1.57103379291842e-11,"Wilcoxon rank sum test with continuity correction","two.sided",3.34201734129918e-11,NA,"GSK2126458"
"35",20518,1.94272685050201e-13,"Wilcoxon rank sum test with continuity correction","two.sided",4.73539669809866e-13,NA,"AZD6482"
"36",39218,0.000593689937231539,"Wilcoxon rank sum test with continuity correction","two.sided",0.000850707417552527,-5.2063004341619,"SB52334"
"37",30134,0.0710184403841638,"Wilcoxon rank sum test with continuity correction","two.sided",0.0856614177829605,1.97105603579936,"X5.Fluorouracil"
"38",13240,7.27600162611869e-31,"Wilcoxon rank sum test with continuity correction","two.sided",7.09410158546573e-30,NA,"YM.155"
"39",35986,0.116417270894644,"Wilcoxon rank sum test with continuity correction","two.sided",0.137584047420943,-0.755649060266659,"NSC.207895"
"40",30595,0.123702807632778,"Wilcoxon rank sum test with continuity correction","two.sided",0.14473228493035,0.296792850143738,"XL.184"
"41",15075,9.33616040945838e-26,"Wilcoxon rank sum test with continuity correction","two.sided",5.46165383953315e-25,NA,"CUDC.101"
"42",28344,0.00453996737989482,"Wilcoxon rank sum test with continuity correction","two.sided",0.00617646724939179,1.52685620457662,"masitinib"
"43",35813,0.141510376153147,"Wilcoxon rank sum test with continuity correction","two.sided",0.162320725587433,-0.108644974118185,"JQ.1"
"44",27312,0.000596222292643651,"Wilcoxon rank sum test with continuity correction","two.sided",0.000850707417552527,2.62308526284633,"PIK.93"
"45",33074,0.912949015925541,"Wilcoxon rank sum test with continuity correction","two.sided",0.92882639011555,0.103249087203762,"MP470"
"46",22776,1.44778900993522e-09,"Wilcoxon rank sum test with continuity correction","two.sided",2.92053989935208e-09,2.9667703533663,"AS605240"
"47",19798,7.97124023367304e-15,"Wilcoxon rank sum test with continuity correction","two.sided",2.11962524395397e-14,NA,"THZ.2.102.1"
"48",29050,0.0150695972304505,"Wilcoxon rank sum test with continuity correction","two.sided",0.0193751964391507,1.13858876918907,"KIN001.244"
"49",45805,4.67529718742728e-13,"Wilcoxon rank sum test with continuity correction","two.sided",1.11634647128366e-12,NA,"QL.XI.92"
"50",51388,1.38759622498354e-25,"Wilcoxon rank sum test with continuity correction","two.sided",7.73089325347975e-25,NA,"KIN001.236"
"51",47674,9.36159961903766e-17,"Wilcoxon rank sum test with continuity correction","two.sided",2.88238725112475e-16,NA,"EX.527"
"52",19190,4.70886693277443e-16,"Wilcoxon rank sum test with continuity correction","two.sided",1.34374983203563e-15,NA,"BMS.536924"
"53",23125,4.95305149566118e-09,"Wilcoxon rank sum test with continuity correction","two.sided",9.50011516380914e-09,NA,"QL.X.138"
"54",50244,1.18054700185044e-22,"Wilcoxon rank sum test with continuity correction","two.sided",5.11570367468523e-22,NA,"ruxolitinib"
"55",23306,9.2287967166906e-09,"Wilcoxon rank sum test with continuity correction","two.sided",1.71391939024254e-08,NA,"AT.7519"
"56",50330,7.21685695739253e-23,"Wilcoxon rank sum test with continuity correction","two.sided",3.24758563082664e-22,NA,"VNLG.124"
"57",33284,0.991024590769811,"Wilcoxon rank sum test with continuity correction","two.sided",0.991024590769811,1.24298364508292,"Bicalutamide"
"58",29484,0.0292326871026683,"Wilcoxon rank sum test with continuity correction","two.sided",0.0360023620106546,0.924089484099881,"WZ3105"
"59",14514,2.8820015115201e-27,"Wilcoxon rank sum test with continuity correction","two.sided",2.10746360529907e-26,NA,"Belinostat"
"60",47405,3.42219967375729e-16,"Wilcoxon rank sum test with continuity correction","two.sided",1.00099340457401e-15,NA,"STF.62247"
"61",51892,6.19460135863885e-27,"Wilcoxon rank sum test with continuity correction","two.sided",3.81457031031971e-26,NA,"KIN001.260"
"62",41767,9.34468294728459e-07,"Wilcoxon rank sum test with continuity correction","two.sided",1.51851097893375e-06,NA,"FR.180204"
"63",45558,1.32256733147104e-12,"Wilcoxon rank sum test with continuity correction","two.sided",3.03412505455121e-12,-3.75213640276557,"XMD13.2"
"64",28696,0.00841573140140338,"Wilcoxon rank sum test with continuity correction","two.sided",0.0113177077467149,0.749341920298526,"EKB.569"
"65",20850,8.00008953978551e-13,"Wilcoxon rank sum test with continuity correction","two.sided",1.87202095230981e-12,NA,"QL.XII.47"
"66",46362,4.16476837319947e-14,"Wilcoxon rank sum test with continuity correction","two.sided",1.08283977703186e-13,NA,"CH5424802"
"67",30772,0.15063068979371,"Wilcoxon rank sum test with continuity correction","two.sided",0.171104764134603,0.457391543066187,"TPCA.1"
"68",24195,1.68162243654472e-07,"Wilcoxon rank sum test with continuity correction","two.sided",2.851446740228e-07,NA,"CHIR.99021"
"69",25515,7.8223887789589e-06,"Wilcoxon rank sum test with continuity correction","two.sided",1.23678309072729e-05,3.31266536954313,"KIN001.266"
"70",51332,1.95004206875372e-25,"Wilcoxon rank sum test with continuity correction","two.sided",1.03706782747357e-24,NA,"KIN001.270"
"71",31912,0.435591512802285,"Wilcoxon rank sum test with continuity correction","two.sided",0.467561532090526,0.62273369595583,"KIN001.102"
"72",30452,0.104822554247015,"Wilcoxon rank sum test with continuity correction","two.sided",0.12514529435613,1.11679715541922,"BMS.345541"
"73",44401,1.32327671525887e-10,"Wilcoxon rank sum test with continuity correction","two.sided",2.7161995734261e-10,-2.13488528484121,"OSI.930"
"74",20264,6.42046211924189e-14,"Wilcoxon rank sum test with continuity correction","two.sided",1.59828525096022e-13,NA,"OSI.027"
"75",47440,2.89495727411547e-16,"Wilcoxon rank sum test with continuity correction","two.sided",8.6848718223464e-16,-4.79132414976482,"GSK429286A"
"76",16292,1.23569649230134e-22,"Wilcoxon rank sum test with continuity correction","two.sided",5.16344605711631e-22,NA,"CAY10603"
"77",20176,4.35346038545001e-14,"Wilcoxon rank sum test with continuity correction","two.sided",1.10729318499489e-13,NA,"JW.7.24.1"
"78",47769,5.88940634944968e-17,"Wilcoxon rank sum test with continuity correction","two.sided",1.86232579158274e-16,-4.26448685440861,"T0901317"
"79",34706,0.405646750246564,"Wilcoxon rank sum test with continuity correction","two.sided",0.439450646100444,-0.00404388874898858,"PHA.793887"
"80",13931,6.95312788979263e-29,"Wilcoxon rank sum test with continuity correction","two.sided",6.25781510081336e-28,NA,"foretinib"
"81",44862,2.22536958457135e-11,"Wilcoxon rank sum test with continuity correction","two.sided",4.64943288205086e-11,NA,"GW.2580"
"82",39466,0.000346832273869077,"Wilcoxon rank sum test with continuity correction","two.sided",0.000520248410803616,-2.08539148241598,"CX.5461"
"83",38825,0.0013377059634737,"Wilcoxon rank sum test with continuity correction","two.sided",0.00186323330626693,-2.97408760993009,"CP724714"
"84",40867,1.15579830349369e-05,"Wilcoxon rank sum test with continuity correction","two.sided",1.80304535345015e-05,-1.95391937734032,"BIX02189"
